avg-block-size,block,block_USD,date,difficulty,electricity_per_hash,energy_price,fee,fee_USD,h_index,hash-rate,market-cap,market-price,median-confirmation-time,month,n-transactions-per-block,n_miners,payout,payout_USD,payout_per_hash,total_block,total_electricity,trade-volume
0.002149265,258050,97217,2011-01-01,17934.54888,229140799,172.9814359,8.38959263,3.479258322,0,0.147946964,1944373.284,0.376129032,0,2011-01,6.801783103,0,258058.3896,97220.47926,657130.6146,5161,0.033900686,0
0.002657202,278300,267683,2011-02-01,30477.98169,188360484.2,179.468168,13.06180579,12.85083393,2.07E-06,0.30756603,5215092.38,0.956428571,0,2011-02,8.396538009,1,278313.0618,267695.8508,870368.7156,5566,0.057933286,0
0.005893741,245100,217457,2011-03-01,69479.27038,177638633.4,185.4736514,130.7929255,112.9130896,0.009548264,0.531564192,5036229.882,0.883870968,0,2011-03,18.24290921,1,245230.7929,217569.9131,409301.2964,4902,0.094426337,0
0.005713167,254400,316317,2011-04-01,85029.26257,69686066.94,194.8706978,162.5458857,221.6537457,0.033194434,0.715917511,7432838.268,1.219666667,0,2011-04,14.55200596,1,254562.5459,316538.6537,442144.0305,5088,0.049889476,0
0.00866351,336950,2194202.5,2011-05-01,210679.4821,212851435.5,187.7413346,416.6417007,2953.831852,0.133145393,2.21423917,40715942.34,6.481290323,0,2011-05,20.82971066,1,337366.6417,2197156.332,992285.0076,6739,0.471303986,0
0.021852066,312800,6174257,2011-06-01,827558.2486,201437404.4,185.9371768,843.5111996,17450.55256,0.127582712,8.345550338,129236418.7,19.44233333,0,2011-06,51.78330652,2,313643.5112,6191707.553,741917.2256,6256,1.681105998,0
0.023954712,245700,3641910,2011-07-01,1576944.107,77112949.11,188.4706969,381.6649341,5721.232166,0.144762814,12.44122897,101167753.5,14.82322581,0,2011-07,54.75529941,2,246081.6649,3647631.232,293188.9801,4914,0.959379856,0
0.023792151,218650,2445818,2011-08-01,1847683.015,18838842.73,184.1348513,244.6280159,2737.006459,0.181747088,12.97626025,78927087.51,11.13290323,0,2011-08,54.23900866,2,218894.628,2448555.006,188694.9675,4373,0.244457726,0
0.02132029,207850,1364019,2011-09-01,1760703.896,18326152.43,182.1074921,161.7012969,1086.867437,0.174849567,12.13386023,47657201.48,6.533333333,0,2011-09,47.00146833,2,208011.7013,1365105.867,112503.8398,4157,0.222366972,0
0.019288442,187450,747547,2011-10-01,1568064.643,19150265.24,175.6842827,119.5062453,486.2388704,0.139382487,9.451903643,29704603.14,3.946451613,0,2011-10,45.44632972,2,187569.5062,748033.2389,79141.01404,3749,0.181006462,0
0.017569371,206850,590766.5,2011-11-01,1194221.63,18235358.94,178.0402564,98.58816123,279.4028921,0.158488555,8.146547065,21879669.81,2.837333333,0,2011-11,40.98391528,6,206948.5882,591045.9029,72551.70788,4137,0.14855521,0
0.016785884,229250,814704.5,2011-12-01,1130928.139,18574096.01,174.7612352,505.4758622,1668.501443,0.144115478,8.328986896,28065413.25,3.550967742,13.1938172,2011-12,37.83038399,8,229755.4759,816373.0014,98015.88256,4585,0.154703402,0
0.020694843,237200,1521632.5,2012-01-01,1245695.813,18439127.68,177.618594,572.4128743,3563.272902,0.156333135,9.470238149,52055461.99,6.411612903,13.10376344,2012-01,42.47304755,10,237772.4129,1525195.773,161051.4698,4744,0.17462293,0
0.021808205,217750,1159141,2012-02-01,1370938.676,17356551.04,183.1277366,157.0204614,854.1455646,0.171700132,10.23293106,44413716.29,5.332758621,12.13448276,2012-02,48.32897992,10,217907.0205,1159995.146,113359.0306,4355,0.17760839,0
0.020682538,233450,1169493,2012-03-01,1506177.089,18596048.23,187.234388,155.3832981,777.7394327,0.138833392,11.24948282,42949162.2,5.011935484,9.361290323,2012-03,43.96041519,10,233605.3833,1170270.739,104028.8481,4669,0.209195925,0
0.025052022,210500,1063599,2012-04-01,1590437.103,18152538.12,184.2299296,165.0622032,835.2072773,0.128334415,11.05986356,44434847.27,5.050333333,9.995277778,2012-04,53.90249908,12,210665.0622,1064434.207,96242.97816,4210,0.200764595,0
0.068849182,220700,1129117.5,2012-05-01,1643147.172,18839288.48,173.3476512,467.5634134,2393.994415,0.106621659,11.62623056,46107330.33,5.116774194,11.64274194,2012-05,154.2646732,11,221167.5634,1131511.494,97324.01991,4414,0.219029911,0
0.096465906,226750,1372694,2012-06-01,1637859.606,17893928.76,162.0803501,646.2231458,3916.488603,0.100018258,12.29074705,55952355.02,6.061333333,15.65805556,2012-06,216.9422558,10,227396.2231,1376610.489,112003.8093,4535,0.219929752,0
0.082800633,238650,1920558.5,2012-07-01,1815646.38,18330337.7,167.3140256,588.8262757,4795.553661,0.091519011,13.90057113,76167433,8.042580645,13.67446237,2012-07,190.1432851,10,239238.8263,1925354.054,138508.989,4773,0.254802163,0
0.094972083,243950,2793614.5,2012-08-01,2192552.833,18380787.09,171.9743971,777.9636876,8928.007607,0.081638576,17.13869741,111171232.2,11.44387097,12.86424731,2012-08,226.2468391,11,244727.9637,2802542.508,163521.3249,4879,0.315022748,26157.46967
0.088325375,234750,2735239.5,2012-09-01,2714180.999,17774880.26,173.7071595,692.7035732,8015.492357,0.073928556,21.0796811,115841995,11.659,11.95861111,2012-09,202.0198821,12,235442.7036,2743254.992,130137.4048,4695,0.374688807,0
0.097231456,230400,2762744.5,2012-10-01,3065869.732,18587104.72,172.0968683,811.4641687,9889.885901,0.065994451,22.69123999,122076430.8,12.01516129,11.98897849,2012-10,205.0521997,12,231211.4642,2772634.386,122189.6374,4608,0.421764454,0
0.098987631,212800,2459573.75,2012-11-01,3356840.17,18028864.79,169.7511613,818.5559859,9584.59293,0.066780736,24.65038861,120798950.3,11.586,12.53138889,2012-11,213.5033854,11,213618.556,2469158.343,100167.1163,4431,0.444418523,0
0.125739996,105325,1416952.5,2012-12-01,3329360.693,18898563.42,170.538214,934.2048917,12607.1024,0.06683832,22.41298383,142160172.3,13.46225806,12.15456989,2012-12,275.3279267,12,106259.2049,1429559.602,63782.65444,4213,0.423573196,27509.6753
0.147434786,111100,1747625.25,2013-01-01,3125200.857,18648148.37,174.6949477,1318.10984,20689.71791,0.09349447,22.13846349,167692936.8,15.65483871,10.19543011,2013-01,325.7832728,12,112418.1098,1768314.968,79875.23472,4444,0.412841352,0
0.157291505,116450,3029329.75,2013-02-01,3379188.175,12214620.75,176.1777977,1416.121953,36800.8236,0.110048023,28.03153878,280916008.6,25.82642857,8.8125,2013-02,345.5260653,13,117866.122,3066130.574,109381.4577,4658,0.342394615,1108157.822
0.157743836,133575,7525480.5,2013-03-01,5123402.251,11829185.58,171.5868123,1720.488302,94985.77477,0.148079584,43.7739556,615827168.6,55.76870968,7.742473118,2013-03,324.9353143,13,135295.4883,7620466.275,174086.7639,5343,0.517810244,3695434.069
0.170863689,124175,16056814.5,2013-04-01,8186714.842,11752250.37,168.3208811,1594.56344,204762.494,0.184924995,67.33556519,1427716970,129.015,7.263333333,2013-04,345.1533284,15,125769.5634,16261576.99,241500.5644,4967,0.791344421,17597753.81
0.170211129,124425,14978206,2013-05-01,10975370.52,12200485.03,167.1667821,1588.920567,190172.0689,0.181896115,87.65746942,1343870350,120.2183871,7.730376344,2013-05,352.5698736,17,126013.9206,15168378.07,173041.478,4977,1.069463644,7809544.058
0.12698806,130200,14269153,2013-06-01,17020766.55,11614881,164.7012424,1251.047612,137829.0072,0.139651666,144.956349,1236450475,108.9346667,7.847222222,2013-06,271.9244481,16,131451.0476,14406982.01,99388.41666,5208,1.683650744,3788908.322
0.105587192,134125,12074469,2013-07-01,26248855.84,11923250.66,166.6675122,923.6826558,83962.77171,0.128734984,224.5192065,1028021283,90.25580645,7.560752688,2013-07,227.2089218,18,135048.6827,12158431.77,54153.19234,5365,2.676998777,3050582.003
0.135439361,145925,15632806.75,2013-08-01,49075993.34,7161351.905,169.3118024,1355.708009,147145.102,0.124148088,455.4731406,1239056988,107.0329032,6.475806452,2013-08,296.4516098,18,147280.708,15779951.85,34645.18639,5837,3.261803443,1451412.586
0.129651896,140675,17599365.5,2013-09-01,105757135.4,1681419.414,168.6803113,1337.201781,168860.8671,0.152747791,979.4716164,1464262433,125.0816667,6.407222222,2013-09,287.3401975,19,142012.2018,17768226.37,18140.62406,5627,1.646902591,1355577.198
0.129809185,154975,23990521.25,2013-10-01,247090119.8,1674193.964,166.0099433,1088.424076,171598.2126,0.14149767,2445.633117,1836961929,154.2858065,6.089784946,2013-10,267.6841657,21,156063.4241,24162119.46,9879.699163,6199,4.094464204,3199738.422
0.193292131,129800,66380923.25,2013-11-01,543449326,1727335.849,164.2980874,1185.722678,498526.9125,0.164616404,4643.528335,6119741854,516.0826667,7.728333333,2013-11,384.9962506,19,130985.7227,66879450.16,14402.72253,5192,8.020932959,16729587.12
0.177212377,140400,112829756.3,2013-12-01,946731909.1,1763380.562,167.8858163,494.5328663,408786.457,0.175150421,8454.26834,9733414699,803.1435484,7.245698925,2013-12,345.7170359,18,140894.5329,113238542.7,13394.24515,5616,14.90809246,23623274.93
0.171403251,136800,111895014,2014-01-01,1742581225,1765382.932,166.6884483,438.7261139,359967.0129,0.190868024,15190.66157,10035637400,816.2587097,7.610752688,2014-01,336.2346516,17,137238.7261,112254981,7389.736155,5472,26.81733467,11749389.46
0.211619894,122550,82159480.5,2014-02-01,2802616916,1273181.585,170.991846,395.9849202,263209.277,0.181953394,24425.15477,8322373614,670.2328571,7.622619048,2014-02,379.392307,19,122945.9849,82422689.78,3374.500206,4902,31.09765725,16128298.76
0.235284781,127825,76224596.25,2014-03-01,4252881444,329900.8507,169.830149,419.9976086,252186.048,0.138011433,34834.81811,7465673553,597.2741935,8.733870968,2014-03,415.4716534,19,128244.9976,76476782.3,2195.412132,5113,11.49203613,9189215.645
0.220945345,125750,58239070.75,2014-04-01,6406332734,317502.0628,170.9984406,397.8797501,184625.6426,0.129948895,53247.42358,5852814146,463.5023333,7.697777778,2014-04,379.7727723,20,126147.8798,58423696.39,1097.211705,5030,16.90616683,7998838.485
0.229750183,125975,60555416.25,2014-05-01,8964398397,329408.1687,168.7603893,371.1091105,178618.8202,0.155791416,72229.65298,6155110913,482.3109677,7.408064516,2014-05,397.9865934,20,126346.1091,60734035.07,840.8462808,5039,23.79303771,4926037.114
0.214759609,128000,78230119.75,2014-06-01,12502750923,316051.767,169.0746088,328.8061843,201733.2846,0.176486893,106026.3078,7886759131,612.7163333,6.854444444,2014-06,358.8744258,22,128328.8062,78431853.03,739.7395485,5120,33.50980191,5813657.393
0.24341867,118300,73355877.5,2014-07-01,17406848598,198144.5208,165.6807138,334.7843041,207744.3009,0.156223584,132135.9295,8079615905,620.2867742,7.529569893,2014-07,410.9240881,24,118634.7843,73563621.8,556.7268651,4732,26.18201043,3324621.167
0.24229165,128175,69105218.75,2014-08-01,21098286537,159249.7069,160.1370184,371.9380321,200193.5202,0.138472462,173300.9574,7087728957,540.2164516,6.965053763,2014-08,415.841966,25,128546.938,69305412.27,399.9136144,5127,27.59812668,5317069.736
0.268650943,118450,53030673.75,2014-09-01,29594537628,24879.17272,155.0582461,390.8274689,173584.2298,0.129352178,232529.2977,5938331108,446.9,7.287777778,2014-09,456.7944913,23,118840.8275,53204257.98,228.8066859,4738,5.785136558,5032090.68
0.297235731,116750,42652861.5,2014-10-01,35199900585,25664.02924,146.427002,385.2410629,140793.4442,0.133523837,262930.2375,4890546109,365.8270968,7.594623656,2014-10,514.3978325,26,117135.2411,42793654.94,162.7566892,4670,6.747849303,6976318.951
0.331194988,110600,40272280.5,2014-11-01,39399808418,25180.52268,139.5957335,389.9076076,142050.274,0.111184493,288575.4009,4919817273,364.6086667,7.743888889,2014-11,570.7914305,25,110989.9076,40414330.77,140.0477333,4424,7.266479427,5554109.789
0.350758403,112450,38597119.75,2014-12-01,39825656671,22244.82874,126.2349148,411.3719262,141330.3828,0.103170304,287326.444,4673612125,343.9035484,8.21827957,2014-12,607.2750811,25,112861.3719,38738450.13,134.8238248,4498,6.391527539,3209640.453
0.363609086,113275,28763620.5,2015-01-01,42441567537,21670.42656,114.2247649,449.8379398,113560.4796,0.094665645,307269.7597,3484196509,252.6283871,8.315591398,2015-01,646.9390406,26,113724.8379,28877180.98,93.97989899,4531,6.658666763,7037436.436
0.376770585,105475,24593784.25,2015-02-01,44023752590,19482.98926,117.5887534,385.5528959,90052.67455,0.081582033,329676.847,3226898027,233.3253571,7.916666667,2015-02,635.2714564,27,105860.5529,24683836.92,74.87282515,4219,6.423090471,2979402.174
0.389510144,113775,30549922,2015-03-01,47052539740,21690.59924,113.5722856,451.9426516,121445.1679,0.089294304,343595.6124,3744349686,268.8935484,7.893010753,2015-03,673.6868581,26,114226.9427,30671367.17,89.26588717,4551,7.452794731,2450740.033
0.407724594,106350,25035801.5,2015-04-01,48470603158,21120.70616,114.8428832,563.250089,132364.4947,0.104378434,341947.6211,3307842849,235.343,8.049722222,2015-04,757.2140183,27,106913.2501,25168165.99,73.60240119,4254,7.222175228,1964802.885
0.394877446,111625,26392425.5,2015-05-01,48203489563,21691.53172,118.693473,494.8513751,116912.1855,0.112513528,344306.6947,3349183711,236.4648387,8.01827957,2015-05,722.0484898,24,112119.8514,26509337.69,76.99338438,4465,7.468539588,1587557.315
0.457566784,109550,25873366,2015-06-01,48802413542,21011.68909,116.5024033,568.3031143,134906.6082,0.118016195,354257.146,3372469949,236.3153333,8.195555556,2015-06,807.0499347,29,110118.3031,26008272.61,73.41636689,4382,7.443541009,1727004.728
0.598386018,114575,31930090.25,2015-07-01,50753647100,21636.82156,109.743695,954.0614819,266683.2201,0.120876901,372456.7514,4010273461,278.8977419,8.573655914,2015-07,947.0612097,23,115529.0615,32196773.47,86.44432769,4583,8.058780269,3689282.444
0.4667714,114875,28992582.5,2015-08-01,53106846159,21529.88557,102.5202415,780.5815523,198527.1327,0.124122284,391718.7359,3662435752,252.7412903,8.217473118,2015-08,780.4956873,20,115655.5816,29191109.63,74.5205857,4595,8.433659562,3192960.956
0.555431697,111725,26066310.25,2015-09-01,57717884513,20843.81964,102.3625484,827.4349164,192968.6838,0.123612449,427630.6942,3412346704,233.278,8.288888889,2015-09,931.6598371,19,112552.4349,26259278.93,61.40644087,4469,8.913457063,4395588.302
0.545861674,114000,30016426,2015-10-01,60984536794,21704.41378,102.3173769,826.8067442,218794.4422,0.132212219,445402.1811,3925298920,262.8232258,8.353763441,2015-10,939.9764621,20,114826.8067,30235220.44,67.88296449,4560,9.667193236,6124480.748
0.569347651,116225,40170082.5,2015-11-01,66254220211,20727.13761,96.22614944,836.1147181,291822.4727,0.142711901,509663.5908,5206726554,346.4936667,8.433611111,2015-11,1029.097036,21,117061.1147,40461904.97,79.38943589,4649,10.56386738,10730439.46
0.628091836,126575,53478013,2015-12-01,84220311130,21093.53941,90.75359106,1061.373054,450204.9614,0.156404301,684293.4613,6352343403,422.4429032,7.629032258,2015-12,1214.854474,23,127636.3731,53928217.96,78.80861212,5063,14.43417109,5859817.482
0.667368994,121675,50125629,2016-01-01,1.11E+11,21128.28164,85.32228161,1150.038083,470718.5406,0.165643977,864238.8087,6202824045,412.4635484,7.911290323,2016-01,1231.301528,21,122825.0381,50596347.54,58.54440582,4867,18.25988095,3816566.487
0.742206757,113800,45303693.75,2016-02-01,1.46E+11,20010.31705,87.37083165,1266.650416,507606.2562,0.162010326,1136042.987,6090228772,400.5168966,8.120114943,2016-02,1417.845809,21,115066.6504,45811300.01,40.32532266,4552,22.73258036,2936377.992
0.716300375,114450,47596396,2016-03-01,1.62E+11,21630.97874,93.60859813,1401.101231,584033.5983,0.167527385,1190572.74,6366173735,415.773871,8.288709677,2016-03,1336.393838,22,115851.1012,48180429.6,40.46827882,4578,25.75325363,2156549.061
